Code IRIS;Nom IRIS;Code Commune;Nom Commune;Taux de motorisation IRIS;Taux de motorisation Commune;Taux de motorisation Département
522670000;Laneuville-au-Pont;52267;Laneuville-au-Pont;0,974684;0,974684;0,840154
522690101;Langres / Les Faubourgs;52269;Langres;0,775641;0,760151;0,840154
522690102;Langres / Secteur Sauvegarde;52269;Langres;0,90788;0,760151;0,840154
522690201;Langres / Ouches;52269;Langres;0,644231;0,760151;0,840154
522690202;Langres / Turenne;52269;Langres;0,627018;0,760151;0,840154
522690203;Langres / Commune Associee de Corlee;52269;Langres;0,947368;0,760151;0,840154
522710000;Lanques-sur-Rognon;52271;Lanques-sur-Rognon;0,886364;0,886364;0,840154
522720000;Lanty-sur-Aube;52272;Lanty-sur-Aube;0,862745;0,862745;0,840154
522730000;Larivière-Arnoncourt;52273;Larivière-Arnoncourt;0,873016;0,873016;0,840154
523030000;Maizières-sur-Amance;52303;Maizières-sur-Amance;0,909091;0,909091;0,840154
523050000;Mandres-la-Côte;52305;Mandres-la-Côte;0,874419;0,874419;0,840154
521300000;Cirfontaines-en-Azois;52130;Cirfontaines-en-Azois;0,804598;0,804598;0,840154
523060000;Manois;52306;Manois;0,861386;0,861386;0,840154
523410000;Morancourt;52341;Morancourt;0,943396;0,943396;0,840154
523420000;Morionvilliers;52342;Morionvilliers;0,923077;0,923077;0,840154
523440000;Mouilleron;52344;Mouilleron;0,928571;0,928571;0,840154
523460000;Mussey-sur-Marne;52346;Mussey-sur-Marne;0,925676;0,925676;0,840154
523470000;Narcy;52347;Narcy;0,887755;0,887755;0,840154
523480000;Neuilly-l'Évêque;52348;Neuilly-l'Évêque;0,885305;0,885305;0,840154
523490000;Neuilly-sur-Suize;52349;Neuilly-sur-Suize;0,964286;0,964286;0,840154
523500000;Neuvelle-lès-Voisey;52350;Neuvelle-lès-Voisey;0,897436;0,897436;0,840154
523510000;Nijon;52351;Nijon;0,95122;0,95122;0,840154
523520000;Ninville;52352;Ninville;0,911765;0,911765;0,840154
523530000;Nogent;52353;Nogent;0,827586;0,827586;0,840154
523540000;Noidant-Chatenoy;52354;Noidant-Chatenoy;0,948718;0,948718;0,840154
523550000;Noidant-le-Rocheux;52355;Noidant-le-Rocheux;0,841463;0,841463;0,840154
523560000;Nomécourt;52356;Nomécourt;0,895833;0,895833;0,840154
523570000;Noncourt-sur-le-Rongeant;52357;Noncourt-sur-le-Rongeant;0,878378;0,878378;0,840154
523580000;Noyers;52358;Noyers;0,804878;0,804878;0,840154
523590000;Nully;52359;Nully;0,893939;0,893939;0,840154
523600000;Occey;52360;Occey;0,892308;0,892308;0,840154
523620000;Orbigny-au-Mont;52362;Orbigny-au-Mont;0,919355;0,919355;0,840154
523630000;Orbigny-au-Val;52363;Orbigny-au-Val;0,952381;0,952381;0,840154
