code_commune,ville,departement,region,nb_logements,nb_appartements,lots_stat_copro,places_publiques,copros_sans_stat,menages_motorises,menages_avec_parking,ratio_stat_par_logement,pct_motorises_sans_parking,profil_stationnement,index_partageabilite
62048,Auchel,62048,62048,4916,974,6,0,0,3176,2710,0.001,10.9,🔴 Forte tension — priorité demande,0.6
62765,Saint-Omer,62765,62765,8484,4993,2,0,3,5067,2471,0.0,36.2,🔴 Forte tension — priorité demande,0.6
64102,Bayonne,64102,64102,32373,28054,2,0,12,23325,16620,0.0,23.0,🔴 Forte tension — priorité demande,0.4
57269,Guénange,57269,57269,3579,1222,3,0,0,3043,2703,0.001,10.1,🔴 Forte tension — priorité demande,0.3
54357,Maxéville,54357,54357,4558,3071,0,0,1,2840,1949,0.0,22.1,🔴 Forte tension — priorité demande,0.0
54526,Tomblaine,54526,54526,4044,1553,0,0,1,3155,2665,0.0,12.9,🔴 Forte tension — priorité demande,0.0
55029,Bar-le-Duc,55029,55029,9487,5741,0,0,3,5786,3467,0.0,30.1,🔴 Forte tension — priorité demande,0.0
55545,Verdun,55545,55545,10330,6029,0,0,6,6577,4777,0.0,20.3,🔴 Forte tension — priorité demande,0.0
57160,Creutzwald,57160,57160,6634,3252,0,0,2,5007,4161,0.0,14.5,🔴 Forte tension — priorité demande,0.0
57757,57757,57757,57757,8772,5028,0,0,1,6884,5614,0.0,15.8,🔴 Forte tension — priorité demande,0.0
59028,59028,59028,59028,3118,341,0,0,1,2249,1819,0.0,14.8,🔴 Forte tension — priorité demande,0.0
66065,Elne,66065,66065,5025,1387,0,0,3,3595,2932,0.0,16.0,🔴 Forte tension — priorité demande,0.0
68154,Illzach,68154,68154,6828,4528,0,0,3,5401,4107,0.0,20.9,🔴 Forte tension — priorité demande,0.0
69149,Oullins,69149,69149,14338,11943,0,11,1,9898,7010,0.0,21.9,🔴 Forte tension — priorité demande,0.0
69383,Lyon 3e Arrondissement,69383,69383,62110,59419,0,0,1,32021,27737,0.0,8.0,🔴 Forte tension — priorité demande,0.0
70279,Gray,70279,70279,3228,2248,0,0,1,1834,1189,0.0,25.2,🔴 Forte tension — priorité demande,0.0
70311,Luxeuil-les-Bains,70311,70311,4420,2851,0,0,1,2707,2089,0.0,18.0,🔴 Forte tension — priorité demande,0.0
97101,97101,97101,97101,31391,13592,0,0,1,16832,12597,0.0,17.1,🔴 Forte tension — priorité demande,0.0
97117,97117,97117,97117,13472,2670,0,0,1,7479,4374,0.0,30.7,🔴 Forte tension — priorité demande,0.0
